question_id,foi_status,sub5b_answer,sub1_answer,same_answer,question_mode,operator_guess,operator_family,source_dataset,foi,nsvs_indices_empty_count,nsvs_indices_total_arrays,has_entry
354,clean,No,Yes,False,bool,always_before,always_before,agqa,"[0, 42]",0,2,True
355,partial,C,A,False,mc,immediately_after,after,agqa,"[0, 43]",1,2,True
356,partial,Yes,Yes,True,bool,after,after,ct,"[504, 3360]",1,2,True
357,bypassed,B,B,True,mc,until,until,agqa,[-1],0,0,True
358,partial,No,No,True,bool,unknown,unknown,agqa,"[0, 19]",1,2,True
359,bypassed,D,D,True,mc,unknown,unknown,agqa,[-1],0,0,True
360,partial,Yes,No,False,bool,unknown,unknown,ct,"[480, 2928]",1,2,True
361,partial,D,D,True,mc,immediately_after,after,agqa,"[0, 24]",1,2,True
362,clean,C,C,True,mc,always_before,always_before,bf,"[45, 449]",0,2,True
363,bypassed,A,A,True,mc,unknown,unknown,ct,[-1],0,0,True
364,clean,B,B,True,mc,always_before,always_before,bf,"[0, 614]",0,2,True
365,partial,C,A,False,mc,before,before,agqa,"[0, 18]",1,2,True
366,bypassed,Yes,No,False,bool,since,since,star,[-1],1,2,True
367,bypassed,Yes,Yes,True,bool,unknown,unknown,ct,[-1],0,0,True
368,partial,D,A,False,mc,when,when,agqa,"[0, 31]",1,2,True
369,partial,C,C,True,mc,always_before,always_before,ct,"[1861, 7439]",1,2,True
370,partial,No,No,True,bool,immediately_after,after,agqa,"[0, 55]",1,2,True
371,bypassed,C,C,True,mc,always_before,always_before,bf,[-1],1,2,True
372,clean,Yes,No,False,bool,always_before,always_before,bf,"[1125, 1259]",0,2,True
373,bypassed,Yes,Yes,True,bool,unknown,unknown,star,[-1],0,0,True
374,clean,Yes,No,False,bool,always_after,always_after,bf,"[2355, 2685]",0,2,True
375,clean,Yes,Yes,True,bool,since,since,star,"[0, 20]",0,2,True
376,bypassed,No,Yes,False,bool,unknown,unknown,bf,[-1],0,0,True
377,clean,D,D,True,mc,always_before,always_before,bf,"[0, 555]",0,2,True
378,partial,D,D,True,mc,after,after,ct,"[3648, 4032]",1,2,True
379,partial,D,D,True,mc,before,before,agqa,"[0, 25]",1,2,True
380,partial,Yes,Yes,True,bool,before,before,agqa,"[0, 23]",1,2,True
381,clean,No,No,True,bool,until,until,ct,"[2370, 2759]",0,2,True
382,clean,B,B,True,mc,always_before,always_before,bf,"[1110, 1499]",0,2,True
383,partial,Yes,Yes,True,bool,unknown,unknown,agqa,"[0, 54]",1,2,True
384,clean,D,D,True,mc,in_turn_occurs,in_turn_occurs,star,"[0, 50]",0,2,True
385,clean,D,D,True,mc,always_before,always_before,bf,"[555, 1379]",0,2,True
386,bypassed,A,B,False,mc,unknown,unknown,star,[-1],0,0,True
387,partial,C,D,False,mc,while,during,star,"[0, 37]",1,2,True
388,bypassed,Yes,Yes,True,bool,unknown,unknown,ct,[-1],0,0,True
389,bypassed,No,No,True,bool,since,since,agqa,[-1],0,0,True
390,clean,A,A,True,mc,always_before,always_before,bf,"[1020, 1349]",0,2,True
391,partial,C,C,True,mc,after,after,agqa,"[0, 23]",1,2,True
392,clean,A,A,True,mc,always_before,always_before,bf,"[405, 539]",0,2,True
393,clean,C,C,True,mc,always_before,always_before,bf,"[1515, 1859]",0,2,True
394,partial,No,No,True,bool,immediately_after,after,star,"[0, 0]",1,2,True
395,clean,No,No,True,bool,always_before,always_before,agqa,"[0, 29]",0,2,True
396,bypassed,Yes,No,False,bool,unknown,unknown,star,[-1],0,0,True
397,partial,C,C,True,mc,always_before,always_before,bf,"[525, 630]",1,2,True
398,partial,C,C,True,mc,after,after,ct,"[9061, 13139]",1,2,True
399,missing_video,Yes,Yes,True,bool,unknown,unknown,unknown,,0,0,False
400,clean,Yes,No,False,bool,unknown,unknown,star,"[0, 33]",0,2,True
401,partial,D,D,True,mc,always_after,always_after,ct,"[1848, 5813]",1,2,True
402,partial,Yes,Yes,True,bool,unknown,unknown,agqa,"[0, 22]",1,2,True
403,bypassed,No,No,True,bool,always_before,always_before,bf,[-1],0,2,True
404,bypassed,No,No,True,bool,unknown,unknown,ct,[-1],0,0,True
405,bypassed,C,B,False,mc,always_before,always_before,star,[-1],0,0,True
406,clean,No,Yes,False,bool,always_after,always_after,bf,"[2325, 2550]",0,2,True
407,bypassed,A,A,True,mc,since,since,star,[-1],0,0,True
408,bypassed,D,C,False,mc,since,since,agqa,[-1],0,0,True
409,bypassed,B,B,True,mc,always_before,always_before,bf,[-1],1,2,True
410,clean,No,No,True,bool,always_before,always_before,ct,"[0, 299]",0,2,True
411,bypassed,A,A,True,mc,unknown,unknown,ct,[-1],0,0,True
412,clean,No,No,True,bool,in_turn_occurs,in_turn_occurs,ct,"[1008, 1967]",0,2,True
413,bypassed,Yes,Yes,True,bool,unknown,unknown,star,[-1],0,0,True
414,partial,A,D,False,mc,always_after,always_after,agqa,"[0, 24]",1,2,True
415,bypassed,No,No,True,bool,always_before,always_before,agqa,[-1],0,0,True
416,bypassed,No,No,True,bool,until,until,ct,[-1],0,2,True
417,bypassed,No,No,True,bool,in_turn_occurs,in_turn_occurs,agqa,[-1],0,0,True
418,partial,A,A,True,mc,always_before,always_before,agqa,"[0, 46]",1,2,True
419,partial,C,A,False,mc,before,before,star,"[0, 25]",1,2,True
420,partial,Yes,No,False,bool,unknown,unknown,star,"[0, 35]",1,2,True
421,partial,D,D,True,mc,always_before,always_before,star,"[0, 34]",1,2,True
422,clean,No,Yes,False,bool,in_turn_occurs,in_turn_occurs,bf,"[405, 794]",0,2,True
423,clean,Yes,No,False,bool,always_before,always_before,ct,"[3284, 3648]",0,2,True
424,bypassed,D,D,True,mc,unknown,unknown,star,[-1],0,0,True
425,bypassed,No,No,True,bool,since,since,star,[-1],1,2,True
426,partial,C,C,True,mc,since,since,agqa,"[0, 39]",1,2,True
427,clean,A,B,False,mc,always_before,always_before,ct,"[1441, 1918]",0,2,True
428,partial,D,D,True,mc,unknown,unknown,ct,"[7711, 16679]",1,2,True
429,clean,No,No,True,bool,always_before,always_before,ct,"[2911, 3658]",0,2,True
430,partial,Yes,Yes,True,bool,unknown,unknown,ct,"[30, 8250]",1,2,True
431,partial,No,No,True,bool,unknown,unknown,agqa,"[0, 76]",1,2,True
432,clean,B,B,True,mc,always_before,always_before,bf,"[2985, 3450]",0,2,True
433,clean,Yes,No,False,bool,always_before,always_before,ct,"[6270, 8099]",0,2,True
434,bypassed,No,No,True,bool,always_before,always_before,agqa,[-1],0,0,True
435,clean,D,D,True,mc,always_before,always_before,bf,"[225, 1109]",0,2,True
436,clean,No,No,True,bool,in_turn_occurs,in_turn_occurs,star,"[0, 20]",0,2,True
437,clean,C,C,True,mc,always_before,always_before,bf,"[495, 1064]",0,2,True
438,bypassed,D,D,True,mc,always_before,always_before,bf,[-1],1,2,True
439,partial,C,B,False,mc,until,until,ct,"[1621, 6119]",1,2,True
440,clean,Yes,Yes,True,bool,always_after,always_after,ct,"[6121, 11098]",0,2,True
441,bypassed,No,No,True,bool,unknown,unknown,agqa,[-1],0,0,True
442,clean,B,B,True,mc,always_before,always_before,bf,"[0, 1439]",0,2,True
443,partial,C,A,False,mc,until,until,agqa,"[0, 47]",1,2,True
444,partial,D,D,True,mc,always_after,always_after,ct,"[1290, 1950]",1,2,True
445,bypassed,Yes,Yes,True,bool,unknown,unknown,bf,[-1],0,0,True
446,missing_video,Yes,Yes,True,bool,unknown,unknown,unknown,,0,0,False
447,partial,B,B,True,mc,until,until,star,"[0, 39]",1,2,True
448,partial,B,B,True,mc,while,during,star,"[0, 53]",1,2,True
449,bypassed,Yes,Yes,True,bool,unknown,unknown,star,[-1],0,0,True
450,partial,No,No,True,bool,always_after,always_after,star,"[24, 24]",1,2,True
451,partial,B,B,True,mc,always_after,always_after,star,"[0, 108]",1,2,True
452,bypassed,No,No,True,bool,always_before,always_before,agqa,[-1],0,0,True
453,bypassed,A,B,False,mc,in_turn_occurs,in_turn_occurs,ct,[-1],0,2,True
454,clean,No,No,True,bool,always_before,always_before,ct,"[4729, 4967]",0,2,True
455,bypassed,No,No,True,bool,unknown,unknown,star,[-1],0,0,True
456,partial,No,No,True,bool,unknown,unknown,star,"[0, 20]",1,2,True
457,clean,A,A,True,mc,always_before,always_before,star,"[0, 22]",0,2,True
458,clean,B,B,True,mc,always_before,always_before,bf,"[2505, 2595]",0,2,True
459,bypassed,B,B,True,mc,always_before,always_before,bf,[-1],1,2,True
460,clean,C,C,True,mc,in_turn_occurs,in_turn_occurs,agqa,"[0, 28]",0,2,True
461,clean,No,No,True,bool,since,since,agqa,"[0, 37]",0,2,True
462,partial,A,A,True,mc,unknown,unknown,star,"[0, 50]",1,2,True
463,partial,A,B,False,mc,while,during,agqa,"[0, 47]",1,2,True
464,bypassed,Yes,No,False,bool,unknown,unknown,agqa,[-1],0,0,True
465,clean,B,B,True,mc,always_before,always_before,bf,"[615, 1334]",0,2,True
466,clean,No,No,True,bool,always_before,always_before,agqa,"[0, 49]",0,2,True
467,bypassed,A,A,True,mc,immediately_after,after,star,[-1],0,0,True
468,partial,Yes,Yes,True,bool,unknown,unknown,star,"[24, 24]",1,2,True
469,clean,A,A,True,mc,always_before,always_before,bf,"[3615, 3689]",0,2,True
470,clean,No,No,True,bool,always_before,always_before,bf,"[2535, 2625]",0,2,True
471,clean,D,D,True,mc,always_before,always_before,bf,"[630, 1529]",0,2,True
472,clean,No,No,True,bool,in_turn_occurs,in_turn_occurs,ct,"[4969, 5470]",0,2,True
473,clean,No,No,True,bool,before,before,star,"[0, 39]",0,2,True
474,bypassed,Yes,Yes,True,bool,unknown,unknown,star,[-1],0,0,True
475,clean,Yes,Yes,True,bool,before,before,ct,"[3031, 3899]",0,2,True
476,bypassed,No,No,True,bool,always_before,always_before,agqa,[-1],0,0,True
477,partial,C,C,True,mc,always_after,always_after,agqa,"[0, 40]",1,2,True
478,partial,Yes,No,False,bool,after,after,ct,"[811, 2099]",1,2,True
479,clean,C,C,True,mc,always_before,always_before,bf,"[0, 907]",0,2,True
480,partial,D,D,True,mc,until,until,star,"[0, 25]",1,2,True
481,partial,D,D,True,mc,after,after,agqa,"[0, 32]",1,2,True
482,clean,B,D,False,mc,always_before,always_before,bf,"[75, 509]",0,2,True
483,partial,Yes,No,False,bool,unknown,unknown,star,"[0, 10]",1,2,True
484,partial,B,A,False,mc,since,since,star,"[0, 42]",1,2,True
485,partial,C,A,False,mc,unknown,unknown,agqa,"[0, 49]",1,2,True
486,bypassed,C,C,True,mc,unknown,unknown,star,[-1],0,0,True
487,partial,D,D,True,mc,always_before,always_before,bf,"[15, 284]",1,2,True
488,bypassed,A,A,True,mc,when,when,star,[-1],0,0,True
489,partial,B,D,False,mc,after,after,agqa,"[0, 69]",1,2,True
490,clean,B,B,True,mc,always_before,always_before,bf,"[1425, 1604]",0,2,True
491,clean,No,No,True,bool,always_after,always_after,ct,"[1710, 5189]",0,2,True
492,clean,B,D,False,mc,always_before,always_before,bf,"[510, 1364]",0,2,True
493,clean,C,C,True,mc,always_before,always_before,bf,"[1365, 1649]",0,2,True
494,clean,B,B,True,mc,always_before,always_before,bf,"[0, 524]",0,2,True
495,bypassed,D,D,True,mc,before,before,agqa,[-1],0,0,True
496,clean,No,No,True,bool,immediately_after,after,bf,"[645, 1679]",0,2,True
497,clean,No,No,True,bool,always_after,always_after,ct,"[14491, 16079]",0,2,True
498,clean,C,C,True,mc,always_before,always_before,bf,"[825, 1544]",0,2,True
499,bypassed,No,No,True,bool,unknown,unknown,agqa,[-1],0,0,True
500,clean,B,B,True,mc,always_before,always_before,bf,"[0, 2174]",0,2,True
501,bypassed,No,No,True,bool,always_before,always_before,ct,[-1],0,2,True
502,bypassed,D,D,True,mc,after,after,star,[-1],0,0,True
503,bypassed,Yes,Yes,True,bool,unknown,unknown,bf,[-1],0,0,True
504,partial,No,No,True,bool,unknown,unknown,bf,"[0, 2292]",1,2,True
505,bypassed,D,D,True,mc,before,before,star,[-1],0,0,True
506,bypassed,A,A,True,mc,unknown,unknown,ct,[-1],0,0,True
507,clean,Yes,No,False,bool,after,after,ct,"[2521, 3382]",0,2,True
508,partial,No,No,True,bool,after,after,bf,"[30, 1394]",1,2,True
509,bypassed,Yes,Yes,True,bool,unknown,unknown,ct,[-1],0,0,True
510,partial,B,B,True,mc,always_before,always_before,star,"[0, 19]",1,2,True
511,partial,B,B,True,mc,when,when,agqa,"[0, 8]",1,2,True
512,bypassed,No,No,True,bool,always_before,always_before,agqa,[-1],0,0,True
513,partial,C,C,True,mc,when,when,star,"[0, 17]",1,2,True
514,clean,Yes,Yes,True,bool,before,before,ct,"[3751, 5518]",0,2,True
515,bypassed,No,No,True,bool,always_before,always_before,agqa,[-1],0,0,True
516,clean,B,B,True,mc,always_before,always_before,bf,"[225, 1049]",0,2,True
517,clean,Yes,Yes,True,bool,before,before,star,"[0, 7]",0,2,True
518,clean,No,Yes,False,bool,until,until,ct,"[1141, 1559]",0,2,True
519,bypassed,Yes,Yes,True,bool,unknown,unknown,ct,[-1],0,0,True
520,clean,No,No,True,bool,after,after,star,"[0, 59]",0,2,True
521,bypassed,A,A,True,mc,always_before,always_before,star,[-1],1,2,True
522,bypassed,No,No,True,bool,after,after,bf,[-1],1,2,True
523,bypassed,No,No,True,bool,after,after,agqa,[-1],0,0,True
524,partial,Yes,Yes,True,bool,unknown,unknown,agqa,"[0, 48]",1,2,True
525,partial,B,B,True,mc,always_before,always_before,bf,"[15, 645]",1,2,True
526,clean,C,C,True,mc,always_before,always_before,ct,"[4081, 5578]",0,2,True
527,partial,A,D,False,mc,after,after,ct,"[270, 3810]",1,2,True
528,partial,A,A,True,mc,since,since,agqa,"[0, 47]",1,2,True
529,bypassed,Yes,Yes,True,bool,in_turn_occurs,in_turn_occurs,ct,[-1],0,2,True
530,clean,Yes,Yes,True,bool,before,before,ct,"[1591, 2848]",0,2,True
531,clean,B,A,False,mc,always_before,always_before,bf,"[1980, 2430]",0,2,True
532,clean,C,C,True,mc,always_before,always_before,bf,"[1275, 1605]",0,2,True
533,clean,No,Yes,False,bool,always_before,always_before,agqa,"[0, 42]",0,2,True
534,clean,D,C,False,mc,always_before,always_before,bf,"[240, 510]",0,2,True
535,bypassed,B,B,True,mc,always_before,always_before,star,[-1],1,2,True
536,clean,A,A,True,mc,always_before,always_before,bf,"[3360, 3945]",0,2,True
537,clean,No,No,True,bool,after,after,ct,"[1824, 2255]",0,2,True
538,bypassed,A,A,True,mc,before,before,star,[-1],0,0,True
539,clean,D,D,True,mc,always_before,always_before,bf,"[660, 1020]",0,2,True
540,clean,Yes,Yes,True,bool,before,before,ct,"[5881, 11849]",0,2,True
541,clean,C,B,False,mc,always_before,always_before,bf,"[2895, 3119]",0,2,True
542,clean,A,A,True,mc,always_before,always_before,bf,"[855, 1250]",0,2,True
543,bypassed,D,D,True,mc,always_after,always_after,star,[-1],0,0,True
544,clean,B,B,True,mc,in_turn_occurs,in_turn_occurs,ct,"[2899, 3289]",0,2,True
545,clean,No,No,True,bool,always_after,always_after,bf,"[510, 959]",0,2,True
546,clean,Yes,No,False,bool,after,after,ct,"[11191, 13289]",0,2,True
547,clean,D,A,False,mc,always_before,always_before,bf,"[810, 1769]",0,2,True
548,clean,D,D,True,mc,always_before,always_before,bf,"[0, 659]",0,2,True
549,clean,No,No,True,bool,always_before,always_before,agqa,"[0, 49]",0,2,True
550,partial,A,A,True,mc,when,when,agqa,"[0, 46]",1,2,True
551,partial,C,B,False,mc,before,before,agqa,"[0, 34]",1,2,True
552,partial,C,B,False,mc,when,when,agqa,"[0, 26]",1,2,True
553,clean,D,D,True,mc,always_before,always_before,ct,"[10411, 11068]",0,2,True
554,clean,Yes,Yes,True,bool,after,after,star,"[0, 59]",0,2,True
555,clean,C,C,True,mc,always_before,always_before,bf,"[1425, 1739]",0,2,True
556,partial,D,D,True,mc,after,after,ct,"[240, 17370]",1,2,True
557,partial,A,C,False,mc,unknown,unknown,ct,"[1224, 3360]",1,2,True
558,partial,A,C,False,mc,until,until,ct,"[1471, 9059]",1,2,True
559,partial,C,B,False,mc,before,before,star,"[0, 25]",1,2,True
560,clean,Yes,Yes,True,bool,always_before,always_before,bf,"[195, 599]",0,2,True
561,bypassed,B,B,True,mc,always_before,always_before,agqa,[-1],0,0,True
562,partial,A,A,True,mc,until,until,agqa,"[0, 14]",1,2,True
563,clean,Yes,Yes,True,bool,always_after,always_after,ct,"[14310, 15239]",0,2,True
564,partial,A,A,True,mc,in_turn_occurs,in_turn_occurs,agqa,"[0, 28]",1,2,True
565,bypassed,C,C,True,mc,unknown,unknown,agqa,[-1],0,0,True
566,bypassed,A,D,False,mc,when,when,agqa,[-1],0,0,True
567,clean,C,C,True,mc,always_before,always_before,bf,"[0, 764]",0,2,True
568,bypassed,C,C,True,mc,until,until,agqa,[-1],0,0,True
569,bypassed,B,B,True,mc,always_before,always_before,agqa,[-1],0,0,True
570,bypassed,C,C,True,mc,before,before,agqa,[-1],0,0,True
571,clean,No,No,True,bool,immediately_after,after,ct,"[2422, 3149]",0,2,True
572,bypassed,Yes,Yes,True,bool,unknown,unknown,agqa,[-1],0,0,True
573,clean,D,D,True,mc,always_before,always_before,ct,"[1801, 3029]",0,2,True
574,partial,C,C,True,mc,before,before,agqa,"[0, 25]",1,2,True
575,bypassed,No,No,True,bool,always_before,always_before,star,[-1],0,2,True
576,clean,No,No,True,bool,immediately_after,after,ct,"[4318, 4928]",0,2,True
577,bypassed,Yes,No,False,bool,immediately_after,after,agqa,[-1],1,2,True
578,bypassed,D,B,False,mc,since,since,star,[-1],0,0,True
579,partial,D,D,True,mc,before,before,ct,"[1861, 2219]",1,2,True
580,clean,No,No,True,bool,in_turn_occurs,in_turn_occurs,bf,"[1185, 1499]",0,2,True
581,clean,D,D,True,mc,always_before,always_before,bf,"[1290, 1919]",0,2,True
582,partial,A,D,False,mc,while,during,star,"[0, 50]",1,2,True
583,clean,D,C,False,mc,in_turn_occurs,in_turn_occurs,agqa,"[0, 29]",0,2,True
584,clean,D,D,True,mc,in_turn_occurs,in_turn_occurs,ct,"[7111, 8128]",0,2,True
585,clean,Yes,No,False,bool,always_after,always_after,agqa,"[0, 24]",0,2,True
586,bypassed,Yes,No,False,bool,unknown,unknown,agqa,[-1],0,0,True
587,clean,A,D,False,mc,always_before,always_before,bf,"[165, 389]",0,2,True
588,bypassed,B,B,True,mc,unknown,unknown,agqa,[-1],0,0,True
589,missing_video,Yes,Yes,True,bool,unknown,unknown,unknown,,0,0,False
590,bypassed,No,No,True,bool,always_before,always_before,agqa,[-1],1,2,True
591,partial,Yes,Yes,True,bool,unknown,unknown,agqa,"[0, 12]",1,2,True
592,clean,B,B,True,mc,always_before,always_before,bf,"[780, 1544]",0,2,True
593,clean,Yes,No,False,bool,always_before,always_before,ct,"[1753, 2111]",0,2,True
594,clean,C,C,True,mc,always_before,always_before,bf,"[0, 615]",0,2,True
595,clean,C,C,True,mc,always_before,always_before,bf,"[0, 907]",0,2,True
596,partial,Yes,Yes,True,bool,unknown,unknown,star,"[0, 19]",1,2,True
597,clean,No,No,True,bool,immediately_after,after,ct,"[4440, 4829]",0,2,True
598,partial,No,No,True,bool,unknown,unknown,star,"[0, 17]",1,2,True
599,partial,Yes,Yes,True,bool,unknown,unknown,agqa,"[0, 24]",1,2,True
600,partial,C,C,True,mc,always_before,always_before,bf,"[0, 2760]",1,2,True
601,partial,C,B,False,mc,always_before,always_before,star,"[0, 49]",1,2,True
602,partial,Yes,Yes,True,bool,before,before,star,"[0, 33]",1,2,True
603,partial,Yes,Yes,True,bool,always_after,always_after,agqa,"[0, 30]",1,2,True
604,clean,D,B,False,mc,always_before,always_before,bf,"[0, 779]",0,2,True
605,clean,No,No,True,bool,always_before,always_before,agqa,"[0, 44]",0,2,True
606,clean,No,No,True,bool,after,after,agqa,"[0, 27]",0,2,True
607,partial,No,No,True,bool,unknown,unknown,agqa,"[0, 17]",1,2,True
608,clean,C,C,True,mc,always_before,always_before,bf,"[810, 1619]",0,2,True
609,clean,B,B,True,mc,always_before,always_before,bf,"[0, 389]",0,2,True
610,clean,C,B,False,mc,always_before,always_before,bf,"[0, 674]",0,2,True
611,clean,Yes,Yes,True,bool,always_after,always_after,ct,"[1800, 2460]",0,2,True
612,clean,D,D,True,mc,always_before,always_before,bf,"[225, 1379]",0,2,True
613,bypassed,B,B,True,mc,unknown,unknown,ct,[-1],0,0,True
614,partial,C,C,True,mc,always_before,always_before,agqa,"[0, 39]",1,2,True
615,clean,No,Yes,False,bool,in_turn_occurs,in_turn_occurs,bf,"[1575, 1814]",0,2,True
616,partial,C,C,True,mc,after,after,agqa,"[0, 31]",1,2,True
617,clean,B,A,False,mc,always_before,always_before,bf,"[376, 1483]",0,2,True
618,clean,B,B,True,mc,always_before,always_before,bf,"[0, 1131]",0,2,True
619,clean,Yes,Yes,True,bool,always_after,always_after,ct,"[6901, 9598]",0,2,True
620,clean,D,D,True,mc,always_before,always_before,bf,"[2595, 3524]",0,2,True
621,partial,No,No,True,bool,unknown,unknown,agqa,"[0, 19]",1,2,True
622,partial,C,C,True,mc,always_before,always_before,star,"[0, 19]",1,2,True
623,missing_video,Yes,Yes,True,bool,unknown,unknown,unknown,,0,0,False
624,clean,No,No,True,bool,before,before,star,"[0, 39]",0,2,True
625,clean,Yes,Yes,True,bool,unknown,unknown,star,"[0, 24]",0,2,True
626,partial,A,A,True,mc,always_after,always_after,star,"[72, 108]",1,2,True
627,bypassed,A,A,True,mc,while,during,agqa,[-1],0,0,True
628,clean,No,No,True,bool,until,until,ct,"[4231, 5638]",0,2,True
629,partial,B,A,False,mc,always_before,always_before,ct,"[1681, 13859]",1,2,True
630,bypassed,B,A,False,mc,unknown,unknown,star,[-1],0,0,True
631,clean,B,B,True,mc,always_before,always_before,star,"[0, 49]",0,2,True
632,partial,D,D,True,mc,always_after,always_after,agqa,"[0, 53]",1,2,True
633,bypassed,A,A,True,mc,unknown,unknown,star,[-1],0,0,True
634,partial,A,A,True,mc,since,since,star,"[0, 16]",1,2,True
635,partial,A,B,False,mc,until,until,ct,"[0, 3695]",1,2,True
636,partial,No,No,True,bool,unknown,unknown,ct,"[24, 2928]",1,2,True
637,clean,No,No,True,bool,in_turn_occurs,in_turn_occurs,ct,"[1801, 2135]",0,2,True
638,partial,No,No,True,bool,unknown,unknown,star,"[0, 52]",1,2,True
639,bypassed,Yes,Yes,True,bool,unknown,unknown,agqa,[-1],0,0,True
640,clean,No,No,True,bool,immediately_after,after,ct,"[10891, 11788]",0,2,True
641,clean,B,B,True,mc,always_before,always_before,bf,"[450, 630]",0,2,True
642,bypassed,No,Yes,False,bool,always_after,always_after,agqa,[-1],1,2,True
643,bypassed,A,A,True,mc,in_turn_occurs,in_turn_occurs,ct,[-1],0,2,True
644,partial,C,C,True,mc,always_after,always_after,ct,"[90, 5411]",1,2,True
645,bypassed,B,B,True,mc,always_after,always_after,star,[-1],0,0,True
646,clean,No,No,True,bool,in_turn_occurs,in_turn_occurs,ct,"[12961, 13139]",0,2,True
647,bypassed,Yes,No,False,bool,always_before,always_before,agqa,[-1],0,0,True
648,bypassed,Yes,Yes,True,bool,always_after,always_after,star,[-1],1,2,True
649,bypassed,D,D,True,mc,immediately_after,after,star,[-1],0,0,True
650,clean,C,C,True,mc,always_before,always_before,bf,"[165, 420]",0,2,True
651,clean,C,D,False,mc,always_before,always_before,bf,"[3390, 4394]",0,2,True
652,bypassed,Yes,Yes,True,bool,unknown,unknown,agqa,[-1],0,0,True
653,clean,D,D,True,mc,always_before,always_before,bf,"[405, 675]",0,2,True
654,partial,A,A,True,mc,always_before,always_before,ct,"[140, 3481]",1,2,True
655,bypassed,No,No,True,bool,unknown,unknown,agqa,[-1],0,0,True
656,partial,Yes,Yes,True,bool,unknown,unknown,agqa,"[0, 55]",1,2,True
657,clean,B,B,True,mc,always_before,always_before,bf,"[1215, 1814]",0,2,True
658,bypassed,D,D,True,mc,always_before,always_before,star,[-1],0,0,True
659,clean,Yes,No,False,bool,after,after,star,"[0, 59]",0,2,True
660,bypassed,A,A,True,mc,unknown,unknown,agqa,[-1],0,0,True
661,clean,A,B,False,mc,always_before,always_before,bf,"[0, 404]",0,2,True
662,bypassed,B,B,True,mc,unknown,unknown,star,[-1],0,0,True
663,clean,D,D,True,mc,always_before,always_before,bf,"[570, 1439]",0,2,True
664,partial,B,D,False,mc,always_before,always_before,agqa,"[0, 40]",1,2,True
665,clean,Yes,No,False,bool,until,until,agqa,"[0, 37]",0,2,True
666,bypassed,A,A,True,mc,until,until,star,[-1],0,0,True
667,clean,B,B,True,mc,always_before,always_before,bf,"[930, 1050]",0,2,True
668,bypassed,C,B,False,mc,unknown,unknown,agqa,[-1],0,0,True
669,partial,No,No,True,bool,unknown,unknown,agqa,"[0, 27]",1,2,True
670,partial,C,D,False,mc,always_after,always_after,agqa,"[0, 34]",1,2,True
671,bypassed,A,A,True,mc,unknown,unknown,agqa,[-1],0,0,True
672,partial,B,B,True,mc,always_before,always_before,agqa,"[0, 34]",1,2,True
673,bypassed,A,C,False,mc,always_before,always_before,agqa,[-1],0,0,True
674,clean,A,A,True,mc,always_before,always_before,bf,"[1185, 1245]",0,2,True
675,bypassed,B,B,True,mc,unknown,unknown,agqa,[-1],0,0,True
676,clean,Yes,No,False,bool,always_before,always_before,ct,"[1153, 1775]",0,2,True
677,bypassed,Yes,Yes,True,bool,unknown,unknown,star,[-1],0,0,True
678,bypassed,C,C,True,mc,unknown,unknown,agqa,[-1],0,0,True
679,bypassed,No,No,True,bool,until,until,star,[-1],0,0,True
680,clean,C,C,True,mc,always_before,always_before,bf,"[0, 269]",0,2,True
681,clean,No,No,True,bool,after,after,bf,"[0, 989]",0,2,True
682,clean,A,C,False,mc,always_before,always_before,star,"[0, 69]",0,2,True
683,partial,A,A,True,mc,immediately_after,after,star,"[24, 37]",1,2,True
684,bypassed,D,D,True,mc,unknown,unknown,agqa,[-1],0,0,True
685,bypassed,C,B,False,mc,unknown,unknown,star,[-1],0,0,True
686,clean,D,D,True,mc,always_before,always_before,bf,"[0, 959]",0,2,True
687,clean,D,D,True,mc,always_before,always_before,ct,"[7081, 7679]",0,2,True
688,bypassed,No,No,True,bool,before,before,agqa,[-1],0,0,True
689,clean,No,No,True,bool,always_before,always_before,ct,"[870, 1979]",0,2,True
690,clean,C,C,True,mc,always_before,always_before,bf,"[195, 615]",0,2,True
691,partial,B,B,True,mc,unknown,unknown,agqa,"[0, 27]",1,2,True
692,bypassed,No,No,True,bool,always_after,always_after,agqa,[-1],1,2,True
693,clean,D,D,True,mc,always_before,always_before,bf,"[1095, 1275]",0,2,True
694,partial,A,A,True,mc,always_before,always_before,star,"[0, 20]",1,2,True
695,partial,Yes,Yes,True,bool,unknown,unknown,star,"[0, 33]",1,2,True
696,bypassed,D,D,True,mc,until,until,agqa,[-1],0,0,True
697,partial,A,C,False,mc,always_after,always_after,ct,"[672, 5261]",1,2,True
698,clean,C,A,False,mc,always_before,always_before,bf,"[2355, 2594]",0,2,True
699,clean,A,D,False,mc,always_before,always_before,bf,"[1350, 2114]",0,2,True
700,clean,Yes,Yes,True,bool,always_before,always_before,ct,"[4141, 4799]",0,2,True
701,clean,No,Yes,False,bool,always_before,always_before,ct,"[5490, 6119]",0,2,True
702,bypassed,B,B,True,mc,after,after,star,[-1],0,0,True
703,bypassed,No,Yes,False,bool,always_before,always_before,ct,[-1],0,2,True
704,clean,A,A,True,mc,always_before,always_before,bf,"[0, 899]",0,2,True
705,partial,B,B,True,mc,always_before,always_before,ct,"[2071, 3269]",1,2,True
706,partial,D,B,False,mc,before,before,ct,"[0, 5207]",1,2,True
707,clean,Yes,Yes,True,bool,immediately_after,after,ct,"[3180, 3959]",0,2,True
